"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2022,"REG","ARI",1,"00-0027993","C","Rodney Hudson","Rodney","Hudson",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2022-09-07 21:10:03
2022,"REG","ARI",1,"00-0028946","LS","Aaron Brewer","Aaron","Brewer",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2022-09-09 19:55:06
2022,"REG","ARI",1,"00-0032127","LB","Markus Golden","Markus","Golden",NA,NA,NA,"Toe",NA,"Full Participation in Practice",2022-09-09 19:55:29
2022,"REG","ARI",1,"00-0034490","LB","Ezekiel Turner","Ezekiel","Turner",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2022-09-09 19:55:44
2022,"REG","ARI",1,"00-0035924","RB","Jonathan Ward","Jonathan","Ward",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2022-09-09 19:55:49
2022,"REG","ARI",1,"00-0035238","G","Cody Ford","Cody","Ford","Ankle",NA,"Out","Ankle",NA,"Did Not Participate In Practice",2022-09-09 19:57:46
2022,"REG","ARI",1,"00-0036936","WR","Rondale Moore","Rondale","Moore","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2022-09-09 19:57:54
2022,"REG","ARI",1,"00-0035695","CB","Trayvon Mullen","Trayvon","Mullen","Toe",NA,"Out","Toe",NA,"Did Not Participate In Practice",2022-09-09 19:58:03
2022,"REG","ARI",1,"00-0035236","CB","Byron Murphy","Byron","Murphy","Illness",NA,"Questionable","Illness",NA,"Did Not Participate In Practice",2022-09-09 19:57:26
2022,"REG","ARI",1,"00-0027949","DE","J.J. Watt","J.J.","Watt","Calf",NA,"Questionable","Calf",NA,"Did Not Participate In Practice",2022-09-09 19:57:26
2022,"REG","ARI",1,"00-0030061","TE","Zach Ertz","Zach","Ertz","Calf",NA,"Questionable","Calf",NA,"Limited Participation in Practice",2022-09-09 19:57:26
2022,"REG","ARI",1,"00-0030585","G","Justin Pugh","Justin","Pugh","Neck",NA,"Questionable","Neck",NA,"Limited Participation in Practice",2022-09-09 19:57:26
2022,"REG","ATL",1,"00-0035572","TE","Parker Hesse","Parker","Hesse",NA,NA,NA,"Not injury related - personal matter",NA,"Did Not Participate In Practice",2022-09-07 19:52:14
2022,"REG","ATL",1,"00-0036956","CB","Darren Hall","Darren","Hall","Quadricep",NA,"Questionable","Quadricep",NA,"Limited Participation in Practice",2022-09-09 19:03:53
2022,"REG","ATL",1,"00-0037238","WR","Drake London","Drake","London","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2022-09-09 19:03:53
2022,"REG","BAL",1,"00-0026190","DE","Calais Campbell","Calais","Campbell",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2022-09-09 19:12:38
2022,"REG","BAL",1,"00-0028008","LB","Justin Houston","Justin","Houston",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2022-09-09 19:13:09
2022,"REG","BAL",1,"00-0031598","TE","Nick Boyle","Nick","Boyle",NA,NA,NA,"Not injury related - resting player","Ankle","Full Participation in Practice",2022-09-09 19:13:31
2022,"REG","BAL",1,"00-0037756","DT","Travis Jones","Travis","Jones","Knee",NA,"Out","Knee",NA,"Did Not Participate In Practice",2022-09-09 19:24:18
2022,"REG","BAL",1,"00-0032965","T","Ronnie Stanley","Ronnie","Stanley","Ankle",NA,"Doubtful","Ankle",NA,"Limited Participation in Practice",2022-09-09 19:24:42
2022,"REG","BAL",1,"00-0032165","CB","Marcus Peters","Marcus","Peters","Not injury related - resting player","Knee","Questionable","Not injury related - resting player","Knee","Did Not Participate In Practice",2022-09-09 19:24:00
2022,"REG","BAL",1,"00-0036158","RB","J.K. Dobbins","J.K.","Dobbins","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2022-09-09 19:24:00
2022,"REG","BUF",1,"00-0033466","WR","Isaiah McKenzie","Isaiah","McKenzie",NA,NA,NA,"Groin",NA,"Full Participation in Practice",2022-09-07 15:10:14
2022,"REG","BUF",1,"00-0030114","S","Jordan Poyer","Jordan","Poyer",NA,NA,NA,"Elbow",NA,"Full Participation in Practice",2022-09-07 15:10:14
2022,"REG","BUF",1,"00-0034397","DT","Tim Settle","Tim","Settle",NA,NA,NA,"Calf",NA,"Full Participation in Practice",2022-09-07 15:10:14
2022,"REG","BUF",1,"00-0031588","WR","Stefon Diggs","Stefon","Diggs",NA,NA,NA,"Not injury related - resting player",NA,"Limited Participation in Practice",2022-09-06 18:44:33
2022,"REG","BUF",1,"00-0036560","T","Tommy Doyle","Tommy","Doyle","Foot",NA,"Questionable","Foot",NA,"Limited Participation in Practice",2022-09-07 15:10:38
2022,"REG","BUF",1,"00-0036590","TE","Quintin Morris","Quintin","Morris","Hamstring",NA,"Questionable","Hamstring",NA,"Limited Participation in Practice",2022-09-07 15:10:38
2022,"REG","CAR",1,"00-0033280","RB","Christian McCaffrey","Christian","McCaffrey",NA,NA,NA,"Shin",NA,"Full Participation in Practice",2022-09-09 18:00:48
2022,"REG","CAR",1,"00-0034173","K","Eddy Pineiro","Eddy","Pineiro",NA,NA,NA,"left Hip",NA,"Full Participation in Practice",2022-09-09 18:00:28
2022,"REG","CAR",1,"00-0035956","TE","Giovanni Ricci","Giovanni","Ricci",NA,NA,NA,"Hip",NA,"Full Participation in Practice",2022-09-09 18:00:01
2022,"REG","CAR",1,"00-0038113","LB","Brandon Smith","Brandon","Smith","Thigh",NA,"Questionable","Thigh",NA,"Limited Participation in Practice",2022-09-09 18:40:04
2022,"REG","CHI",1,"00-0037745","WR","Velus Jones","Velus","Jones","Hamstring",NA,"Doubtful","Hamstring",NA,"Did Not Participate In Practice",2022-09-09 19:05:34
2022,"REG","CHI",1,"00-0037082","DE","Dominique Robinson","Dominique","Robinson","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2022-09-09 19:05:54
2022,"REG","CIN",1,"00-0035631","TE","Drew Sample","Drew","Sample",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2022-09-09 19:00:45
2022,"REG","CIN",1,"00-0036194","TE","Devin Asiasi","Devin","Asiasi","Quadricep",NA,"Out","Quadricep",NA,"Did Not Participate In Practice",2022-09-09 19:01:33
2022,"REG","CIN",1,"00-0035771","TE","Mitchell Wilcox","Mitchell","Wilcox","Ankle",NA,"Questionable","Ankle",NA,"Full Participation in Practice",2022-09-09 19:02:24
2022,"REG","CIN",1,"00-0033292","WR","Trent Taylor","Trent","Taylor","Hamstring",NA,"Questionable","Hamstring",NA,"Limited Participation in Practice",2022-09-09 19:02:04
2022,"REG","CLE",1,"00-0035638","CB","Greedy Williams","Greedy","Williams",NA,NA,NA,"Hamstring",NA,"Did Not Participate In Practice",2022-09-08 19:36:15
2022,"REG","CLE",1,"00-0031364","DE","Jadeveon Clowney","Jadeveon","Clowney",NA,NA,NA,"Illness","Elbow","Full Participation in Practice",2022-09-09 18:26:47
2022,"REG","CLE",1,"00-0036282","S","Grant Delpit","Grant","Delpit",NA,NA,NA,"Hip",NA,"Full Participation in Practice",2022-09-09 18:26:54
2022,"REG","CLE",1,"00-0036114","CB","A.J. Green","A.J.","Green",NA,NA,NA,"Hip",NA,"Full Participation in Practice",2022-09-09 18:26:47
2022,"REG","CLE",1,"00-0034779","S","Ronnie Harrison","Ronnie","Harrison",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2022-09-09 18:26:47
2022,"REG","CLE",1,"00-0037314","DE","Isaiah Thomas","Isaiah","Thomas",NA,NA,NA,"Hand",NA,"Full Participation in Practice",2022-09-09 18:26:47
2022,"REG","CLE",1,"00-0035654","DE","Chase Winovich","Chase","Winovich",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2022-09-09 18:26:47
2022,"REG","CLE",1,"00-0037300","WR","Mike Woods","Mike","Woods","Hamstring","Illness","Questionable","Hamstring","Illness","Did Not Participate In Practice",2022-09-09 18:27:15
2022,"REG","CLE",1,"00-0029963","T","Christopher Hubbard","Christopher","Hubbard","Elbow",NA,"Questionable","Elbow",NA,"Full Participation in Practice",2022-09-09 18:27:15
2022,"REG","CLE",1,"00-0033057","T","Jack Conklin","Jack","Conklin","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2022-09-09 18:27:15
2022,"REG","DAL",1,"00-0033928","CB","Jourdan Lewis","Jourdan","Lewis",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2022-09-09 19:47:49
2022,"REG","DAL",1,"00-0033077","QB","Dak Prescott","Dak","Prescott",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2022-09-09 19:47:56
2022,"REG","DAL",1,"00-0034764","WR","Michael Gallup","Michael","Gallup","Knee",NA,"Out","Knee",NA,"Limited Participation in Practice",2022-09-09 19:48:18
2022,"REG","DAL",1,"00-0032454","S","Jayron Kearse","Jayron","Kearse","Neck",NA,"Questionable","Neck",NA,"Did Not Participate In Practice",2022-09-09 19:48:11
2022,"REG","DEN",1,"00-0035804","LB","Jonas Griffith","Jonas","Griffith",NA,NA,NA,"Elbow",NA,"Full Participation in Practice",2022-09-10 19:41:12
2022,"REG","DEN",1,"00-0034368","LB","Josey Jewell","Josey","Jewell","Calf",NA,"Doubtful","Calf",NA,"Did Not Participate In Practice",2022-09-10 19:42:58
2022,"REG","DEN",1,"00-0032197","DE","Randy Gregory","Randy","Gregory","Shoulder","Knee","Questionable","Shoulder","Knee","Limited Participation in Practice",2022-09-10 19:42:29
2022,"REG","DEN",1,"00-0036412","WR","K.J. Hamler","K.J.","Hamler","Knee","Hip","Questionable","Knee","Hip","Limited Participation in Practice",2022-09-10 19:42:29
2022,"REG","DEN",1,"00-0031433","T","Billy Turner","Billy","Turner","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2022-09-10 19:42:29
2022,"REG","DET",1,"00-0034787","LB","Chris Board","Chris","Board",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2022-09-09 19:51:48
2022,"REG","DET",1,"00-0035265","DT","John Cominsky","John","Cominsky",NA,NA,NA,"Illness",NA,"Full Participation in Practice",2022-09-09 19:51:48
2022,"REG","DET",1,"00-0035145","K","Austin Seibert","Austin","Seibert",NA,NA,NA,"right Groin",NA,"Full Participation in Practice",2022-09-09 19:51:48
2022,"REG","DET",1,"00-0036749","G","Tommy Kraemer","Tommy","Kraemer","Back",NA,"Out","Back",NA,"Did Not Participate In Practice",2022-09-09 19:52:33
2022,"REG","DET",1,"00-0036954","DE","Levi Onwuzurike","Levi","Onwuzurike","Back",NA,"Out","Back",NA,"Did Not Participate In Practice",2022-09-09 19:52:15
2022,"REG","DET",1,"00-0036993","CB","Ifeatu Melifonwu","Ifeatu","Melifonwu","Hamstring",NA,"Doubtful","Hamstring",NA,"Limited Participation in Practice",2022-09-09 19:52:20
2022,"REG","DET",1,"00-0036249","LB","Julian Okwara","Julian","Okwara","Hamstring",NA,"Questionable","Hamstring",NA,"Limited Participation in Practice",2022-09-09 19:52:02
2022,"REG","DET",1,"00-0034345","C","Frank Ragnow","Frank","Ragnow","Groin",NA,"Questionable","Groin",NA,"Limited Participation in Practice",2022-09-09 19:52:02
2022,"REG","GB",1,"00-0025580","K","Mason Crosby","Mason","Crosby",NA,NA,NA,"right Knee",NA,"Full Participation in Practice",2022-09-09 19:38:41
2022,"REG","GB",1,"00-0035965","LB","Tipa Galeai","Tipa","Galeai",NA,NA,NA,"Elbow",NA,"Full Participation in Practice",2022-09-09 19:38:41
2022,"REG","GB",1,"00-0036273","C","Jake Hanson","Jake","Hanson",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2022-09-09 19:38:41
2022,"REG","GB",1,"00-0034726","S","Dallin Leavitt","Dallin","Leavitt",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2022-09-09 19:38:41
2022,"REG","GB",1,"00-0024243","TE","Marcedes Lewis","Marcedes","Lewis",NA,NA,NA,"Not injury related - resting player",NA,"Full Participation in Practice",2022-09-09 19:38:56
2022,"REG","GB",1,"00-0035084","T","Yosuah Nijman","Yosuah","Nijman",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2022-09-09 19:38:41
2022,"REG","GB",1,"00-0038124","WR","Christian Watson","Christian","Watson",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2022-09-09 19:38:41
2022,"REG","GB",1,"00-0034968","S","Darnell Savage","Darnell","Savage",NA,NA,NA,"Hamstring",NA,"Limited Participation in Practice",2022-09-09 19:38:41
